split,folder,filename,path,magnification,YS,UTS,EL,E,k,n
Test-Seen,CM04-0500,"(CM04-0500--M4-12 (2), 5).jpg","data/Test-Seen/CM04-0500/(CM04-0500--M4-12 (2), 5).jpg",500,193,284,5.75,46,444.06,0.13
Test-Seen,CM10-0500,"(CM10-0500--M10-21, 14).jpg","data/Test-Seen/CM10-0500/(CM10-0500--M10-21, 14).jpg",500,212,289,4.16,46,450.87,0.117
Test-Seen,CM10-1000,"(CM10-1000--M10-20, 15).jpg","data/Test-Seen/CM10-1000/(CM10-1000--M10-20, 15).jpg",1000,212,289,4.16,46,450.87,0.117
Test-Seen,CM16-1000,"(CM16-1000--M16-03, 23).jpg","data/Test-Seen/CM16-1000/(CM16-1000--M16-03, 23).jpg",1000,244,309,3.17,45,462.38,0.096
Test-Seen,CM16-1000,"(CM16-1000--M16-06 (2), 23).jpg","data/Test-Seen/CM16-1000/(CM16-1000--M16-06 (2), 23).jpg",1000,244,309,3.17,45,462.38,0.096
Test-Seen,CM16-2000,"(CM16-2000--M16-23, 25).jpg","data/Test-Seen/CM16-2000/(CM16-2000--M16-23, 25).jpg",2000,244,309,3.17,45,462.38,0.096
Test-Seen,CS01-1000,"(CS01-1000--S1-05, 29).jpg","data/Test-Seen/CS01-1000/(CS01-1000--S1-05, 29).jpg",1000,151,230,3.52,43,429.33,0.161
Test-Seen,CS01-1000,"(CS01-1000--S1-07 (2), 29).jpg","data/Test-Seen/CS01-1000/(CS01-1000--S1-07 (2), 29).jpg",1000,151,230,3.52,43,429.33,0.161
Test-Seen,CS04-1500,"(CS04-1500--S4-19, 34).jpg","data/Test-Seen/CS04-1500/(CS04-1500--S4-19, 34).jpg",1500,148,210,3.49,37,365.45,0.143
Test-Seen,CS10-0500,"(CS10-0500--S10-08, 42).jpg","data/Test-Seen/CS10-0500/(CS10-0500--S10-08, 42).jpg",500,178,226,2.13,38,408.53,0.13
Test-Seen,CS10-1000,"(CS10-1000--S10-05 (2), 43).jpg","data/Test-Seen/CS10-1000/(CS10-1000--S10-05 (2), 43).jpg",1000,178,226,2.13,38,408.53,0.13
